id,rule
10001,基础规则
10002,1.每天5次免费机会（5点重置），次数不足时可以花费金币购买次数。
10003,2.竞技场战斗方式为自动战斗，中途不能切换成手动战斗；
10004,3.战斗胜利后防守方的排名高于进攻方，双方排名对调；
10005,4.战斗回合数达到上限（20回合），防守方获胜；
10006,5.每天22：00整进行结算并通过邮件发放排名奖励；
10007,历史最高排名奖励
10008,1.历史最高排名提升时（进入5000名后），可以获得一定的金币奖励；
10009,2.奖励通过邮箱发放；
10010,爬塔挑战
10011,1.玩家每天有1次免费重置的机会，VIP有额外的重置机会（需要花费一定金币）；
10012,2.只有手动重置才会重置爬塔（返回第一层），每天5:00刷新重置机会；
10013,3.爬塔最高层数达到10层后开启扫荡功能；
10014,地底试炼
10015,
10016,1.挑战每层不同的玩家，达到更高的层数，获得更多奖励；
10017,2.试炼塔每天5：00自动重置
10018,3.只能上阵等级达到20级（包括）及以上的角色，死亡的角色无法继续上阵；
10019,4.部分楼层放有宝箱奖励，打开后可以获得丰厚奖励，层数越高奖励越好；
10020,5.部分楼层可以消耗试炼印章购买增益BUFF，为后续的试炼挑战提供帮助；
10021,基础规则
10022,1.拥有英雄即可在情缘中解锁(结识）角色；
10023,2.好感度提升时可以获得友情点和道具奖励；
10024,送礼
10025,1.每个角色喜欢的礼物各不相同，赠送喜欢的礼物可以获得更多的好感度；
10026,2.每天可以购买的礼物数量有限，VIP可以购买更多数量礼物；
10027,猜拳
10028,
10029,1.每个角色每天有3次喝酒机会（VIP可以获得更多猜拳机会），每天5:00刷新喝酒机会；
10030,2.默认每天可以与3名英雄进行猜拳，VIP越高每天可与更多英雄猜拳；
10031,3.猜拳累计胜利可以获得对应的奖励（友情点）；
10032,探宝
10033,
10034,1.每天有2次探宝机会，每个角色只能参与1次。每天5：00刷新探宝机会；
10035,2.探宝中剩余步数为0时探宝失败，将不会获得探宝奖励；
10036,3.探宝中找到指定宝物则探宝成功，可以获得探宝奖励并提升参与英雄的好感度；
10037,每日签到
10038,1.签到成功后获得当日签到奖励；
10039,2.每天有1次签到次数，每天00:00刷新签到次数；
10040,3.VIP达到指定等级后可以领取多倍签到奖励，当日VIP奖励可以进行补领；
10041,4.漏签的奖励可以从当月日期最早的签到奖励进行补签；
10042,绝地反击
10043,"1.绝地反击每日12:00,21:00开启，奖励丰厚千万不要错过~"
10044,2.累计伤害越高可以在奖励兑换中领取丰富报酬！
10045,3.最后击杀BOSS（任意BOSS）的玩家将获得大量银币奖励哦~
10046,4.活动结束时根据伤害排名通过邮件发放排名奖励（包含海量银币和稀有道具）；
10047,5.鼓舞会额外增加对所有BOSS造成的伤害（仅当轮有效）；
10048,6.如果所有BOSS被击杀则活动提前结束；
10049,星盘
10050,1.星盘根据主角等级解锁；
10051,2.每个星盘只对某一类别的英雄进行属性加成；
10052,3.未拥有的英雄也可以购买并镶嵌星石获得属性加成；
10053,4.镶嵌的星石等级越高，获得的属性值也越高；
10054,5.收集更多英雄，提升英雄星级和品质，购买更多的星石都能获得额外加成属性；
20001,基础规则
20002,帮派只能有1名帮主，帮主可以任命2个副帮主协助管理帮派
20003,帮主如果5天没有上限，则自动将帮主之位转让给最近1天登录且累计贡献最高的玩家，与其职位互换
20004,聚义厅等级越高，帮派等级、帮派成员上限越高
20005,帮派商店等级越高，商店中可以兑换的道具种类越多（商店刷新时生效）
20006,退出帮派后，仅保留帮派声望，且次日5:00才能加入新帮派
20007,帮主转让帮主之位后才能退出帮派
20008,更多帮派活动即将到来，敬请期待。
30001,限时神将
30002,
30003,SS资质神将限时降临，参与活动就有机会获得，机会难得千万不要错过哦~
30004,活动期间在限时神将界面中每开启1次天罡封印可获得10积分，每次十连不仅可以获得100积分，还能获得英雄整卡&万能碎片
30005,活动界面中开启天罡封印不会获得中经验丹和累计次数
30006,排名奖励在活动结束时通过邮件发放奖励，如果没有达到获取奖励要求的最低积分则无法获得奖励。
30007,
30008,
30009,
30010,
30013,SS资质神将限时降临，参与活动就有机会获得，机会难得千万不要错过哦~
30014,活动期间在限时神将界面中每开启1次装备宝匣可获得10积分，每次十连不仅可以获得100积分，还能获得万能碎片袋（有机率开出万能碎片）
30015,活动界面中开启淬炼宝匣不会获得淬炼碎片和累计次数
30016,排名奖励在活动结束时通过邮件发放奖励，如果没有达到获取奖励要求的最低积分则无法获得奖励。
30017,
30018,
30019,
30020,
30021,探索规则
30022,1.每日5:00刷新重置次数和新一轮云海寻龙内容（强制刷新）
30023,2.寻龙阁等级越高每天重置机会越多
30024,3.每轮首次探索免费，后续每次探索需要花费一定金币
30025,4.每轮重置后刷新9个道具，其中必然有1个是公孙胜碎片
