id,itemBox
1001,"11004,150,5000|11001,10,1000|10014,1,200|10019,1,40|10052,1,8|31015,1,2"
1002,"11004,200,5000|11002,2000,1000|10018,1,200|10001,1,40|10015,1,8|31015,1,2"
1003,"11004,150,5000|10005,1,1000|10008,10,200|10002,1,40|10052,1,8|31015,1,2"
1004,"11004,200,5000|10010,10,1000|10014,1,200|10019,1,40|10015,1,8|31015,1,2"
1005,"11004,150,5000|10013,1,1000|10018,1,200|10001,1,40|10003,1,8|10020,1,2"
1006,"11004,250,5000|10016,1,1000|10008,10,200|10002,1,40|10052,1,8|10021,1,2"
1007,"11004,150,5000|10017,1,1000|10018,1,200|10019,1,40|10015,1,8|31015,1,2"
1008,"11004,200,5000|10030,1,1000|10008,10,200|10001,1,40|10003,1,8|10023,1,2"
1009,"11004,200,5000|11001,10,1000|10014,1,200|10002,1,40|10015,1,8|31015,1,2"
1010,"11004,250,5000|11002,2000,1000|10018,1,200|10001,1,40|10052,1,8|10025,1,2"
1011,"11004,300,5000|10005,1,1000|10008,10,200|10002,1,40|10015,1,8|31015,1,2"
1012,"11004,200,5000|10010,10,1000|10014,1,200|10019,1,40|10003,1,8|31015,1,2"
1013,"11004,300,5000|10013,1,1000|10018,1,200|10001,1,40|10052,1,8|31015,1,2"
1014,"11004,250,5000|10016,1,1000|10008,10,200|10002,1,40|10015,1,8|31015,1,2"
1015,"11004,350,5000|10017,1,1000|10018,1,200|10019,1,40|10003,1,8|31011,1,2"
1016,"11004,200,5000|10030,1,1000|10008,10,200|10001,1,40|10003,1,8|10020,1,2"
1017,"11004,300,5000|11001,10,1000|10014,1,200|10019,1,40|10052,1,8|31015,1,2"
1018,"11004,250,5000|11002,2000,1000|10018,1,200|10001,1,40|10015,1,8|10022,1,2"
1019,"11004,300,5000|10005,1,1000|10008,10,200|10002,1,40|10052,1,8|31015,1,2"
1020,"11004,350,5000|10010,10,1000|10014,1,200|10019,1,40|10015,1,8|10024,1,2"
1021,"11004,400,5000|10013,1,1000|10018,1,200|10001,1,40|10003,1,8|31015,1,2"
1022,"11004,350,5000|10016,1,1000|10008,10,200|10002,1,40|10052,1,8|10026,1,2"
1023,"11004,300,5000|10017,1,1000|10018,1,200|10019,1,40|10015,1,8|31015,1,2"
1024,"11004,350,5000|10030,1,1000|10008,10,200|10001,1,40|10003,1,8|31015,1,2"
1025,"11004,300,5000|11001,10,1000|10014,1,200|10002,1,40|10015,1,8|10065,1,2"
1026,"11004,200,5000|11002,2000,1000|10018,1,200|10001,1,40|10052,1,8|31015,1,2"
1027,"11004,250,5000|10005,1,1000|10008,10,200|10002,1,40|10015,1,8|10004,1,2"
1028,"11004,500,5000|10010,10,1000|10014,1,200|10019,1,40|10003,1,8|31015,1,2"
1029,"11004,350,5000|10013,1,1000|10018,1,200|10001,1,40|10052,1,8|10022,1,2"
1030,"11004,400,5000|10016,1,1000|10008,10,200|10002,1,40|10015,1,8|31015,1,2"
1031,"11004,450,5000|10017,1,1000|10018,1,200|10019,1,40|10003,1,8|10024,1,2"
1032,"11004,500,5000|10030,1,1000|10008,10,200|10001,1,40|10003,1,8|31015,1,2"
1033,"11004,550,5000|11001,10,1000|10014,1,200|10019,1,40|10052,1,8|10026,1,2"
1034,"11004,600,5000|11002,2000,1000|10018,1,200|10001,1,40|10015,1,8|31015,1,2"
1035,"11004,550,5000|10005,1,1000|10008,10,200|10002,1,40|10052,1,8|31015,1,2"
1036,"11004,500,5000|10010,10,1000|10014,1,200|10019,1,40|10015,1,8|31015,1,2"
1037,"11004,500,5000|10013,1,1000|10018,1,200|10001,1,40|10003,1,8|10065,1,2"
1038,"11004,450,5000|10016,1,1000|10008,10,200|10002,1,40|10052,1,8|10066,1,2"
1039,"11004,500,5000|10017,1,1000|10018,1,200|10019,1,40|10015,1,8|31015,1,2"
1040,"11004,400,5000|10030,1,1000|10008,10,200|10001,1,40|10003,1,8|10009,1,2"
